Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
ACIA SUD,ATELIER DE CONSTRUCTION IND ET ARMATURE (POUR BETON) DU SUD,Mustapha Maalej,Industries mécaniques et métallurgiques,Tréfilage à froid - Constructions métalliques - Articles en fils métalliques.,Fils d'acier tréfilés - Ossatures métalliques pour équipements industriels - Treillis soudes - Armatures préparées pour le bâtiment.,RTE DE MAHDIA KM 10 - 3054 - MARKEZ SEBAI,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet eddaier,(216) - 74 831 677 / 74 831 720,(216) - 74 831 680,acia.sud@gnet.tn,http://www.acia-sud.com,Non totalement exportatrice,,22/01/1982,9 000 000,62.0,Banque de l'habitat
ACMG,ATELIER CENTRAL DE MECANIQUE GLE,Amine  Miadi,Industries mécaniques et métallurgiques,Mécanique générale.,"Pièces mécaniques usinées (alésage, fraisage, tournage...) - Montage, entretien et réparations mécaniques.",CITE INDUSTRIELLE - 2100 - GAFSA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Gafsa,Gafsa sud,(216) - 24 408 018 / 76 200 606,(216) - 76 200 606,amin.miadi@hotmail.fr,,Non totalement exportatrice,,27/03/1981,152 100,14.0,Banque de Tunisie
ACMG,STE ATELIER CENTRAL DE MECANIQUES GLE,Amine Miadi,Industries mécaniques et métallurgiques,Mécanique générale.,"Pièces mécaniques usinées (alésage, fraisage, tournage...).",CITE INDUSTRIELLE - 2100 - GAFSA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Gafsa,Gafsa sud,(216) - 24 804 018,(216) - 76 200 606,amine_miadi@hotmail.fr,,Non totalement exportatrice,,16/06/2015,530 000,12.0,Attijari Bank
AD INDUSTRIE TUNISIE,AD INDUSTRIE TUNISIE,Sofien Feleh,Industries mécaniques et métallurgiques,Mécanique générale.,"Pièces mécaniques usinées (alésage, fraisage, tournage...).","7, RUE DU FER, Z.I. - 2046 - SIDI DAOUD","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,La marsa,(216) - 71 854 608 / 71 854 597,(216) - 71 854 595,sofien.feleh@ad-industries.fr,,Totalement exportatrice,France,06/01/2011,40 000,73.0,Union internationale de banques
ADF,STE ART DECOFER,Fatma Ben Touati,Industries mécaniques et métallurgiques,Produits artisanaux & ouvrages traditionnels en métaux.,Autres produits traditionnels en métaux - Meubles pour jardins.,Z.I - 7060 - UTIQUE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Utique,(216) - 72 494 100,,artdecofer@gnet.tn,,Totalement exportatrice,France,07/12/2007,50 000,50.0,Attijari Bank
AEI,ALLIANCE EUROPE INDUSTRIE,Patrick Gerard Gourdet,Industries mécaniques et métallurgiques,Serrures et ferrures - Ouvrages divers en métaux.,Serrures et barillets - Autres ouvrages divers en métaux.,Z.I. - 4025 - SIDI EL HENI,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Sidi el hani,(216) - 73 280 280,(216) - 73 280 282,administration@aei.com.tn,,Totalement exportatrice,France,13/09/2007,10 000,93.0,Attijari Bank
AERO TUNISIA,AERO TUNISIA,Adel Hammami,Industries mécaniques et métallurgiques,Mécanique générale.,"Pièces mécaniques usinées (alésage, fraisage, tournage...) - Autres opérations de mécanique générale.",Z.I. - 1152 - HAMMAM ZRIBA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Zriba,(216) - 25 300 780,,,,Totalement exportatrice,,18/04/2012,1 925 000,34.0,Amen Bank
AEROMECA TUNISIE,STE AEROMECA TUNISIE,Serge Bertolino,Industries mécaniques et métallurgiques,Mécanique générale.,"Pièces mécaniques usinées (alésage, fraisage, tournage...).",Z.I. - 1111 - JEBEL EL OUST,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 98 328 074 / 72 640 687,(216) - 72 640 693,aeromecatunisie@gnet.tn,,Totalement exportatrice,France,25/09/2013,1 000,30.0,Banque de l'habitat
AEROPROTAC TUNISIE,AEROTECH,Maure Mirande Ramain,Industries mécaniques et métallurgiques,Traitement et revêtement des métaux.,Autres traitements et revêtement des métaux.,"RUE JABER IBN HAYEN, BHAR LAZREG - 2070 - LA MARSA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,La marsa,(216) - 70 690 602 / 70 690 908,,r.hafidhi@aerotech.tn,,Totalement exportatrice,France,19/02/2007,1 050 000,18.0,Banque de l'habitat
AFAMEC,AFAMEC,Mohamed Naoufel Boukamcha,Industries mécaniques et métallurgiques,Mécanique générale - Machines diverses d'usage spécifique.,"Pièces mécaniques usinées (alésage, fraisage, tournage...) - Autres machines diverses d'usage spécifique.",AVE DE L'ENVIRONNEMENT - 4021 - KALAA ESSEGHIRA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Kalaa seghira,(216) - 26 799 501 / 73 296 878,(216) - 73 296 879,afamec@yahoo.fr,,Totalement exportatrice,,14/07/2007,16 000,22.0,Attijari Bank
AFRIC FROID,STE AFRICAINE DU FROID,Med Iadh Lakhoua,Industries mécaniques et métallurgiques,Equipements aérauliques et frigorifiques industriels.,Matériels frigorifiques industriels.,"04, RUE HAMOUDA BACHA, Z.I. KSAR SAID - 2086 - DOUAR HICHER","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Manouba,Douar Hicher,(216) - 70 626 626,,afric.froid@frigoindus.net,http://www.frigoindus.net,Non totalement exportatrice,,01/01/1992,1 200 000,52.0,Attijari Bank
AFRICA INDUSTRIE,AFRICA INDUSTRIE,Riadh El Ghali,Industries mécaniques et métallurgiques,Constructions métalliques - Ouvrages mécano soudé - Matériel de levage et manutention - Machines pour l'extraction ou la construction.,Bigues et grues - Matériels à béton - Autres chaudronneries - Grands réservoirs métalliques - Ossatures métalliques pour la construction - Autres machines pour l'extraction ou la construction.,"RUE DE SFAX, LOT N°136, Z.I. M'GHIRA II - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 71 409 230 / 79 408 505,(216) - 79 408 605,africa.industrie@topnet.tn,http://www.africaindustrie.com,Non totalement exportatrice,,04/01/1974,275 000,20.0,Arab Tunisian Bank
AFRICAINE DE CONSTRUCTION NAVAL,STE AFRICAINE DE CONSTRUCTION NAVAL,Selim Ben Ayed,Industries mécaniques et métallurgiques,Construction de navires.,Bateaux de pêche et chalutiers.,QUAI DU CANAL ZARZOUNA - 7021 - ZARZOUNA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Zarzouna,(216) - 25 342 141,,,,Non totalement exportatrice,,25/12/2019,400 000,40.0,Attijari Bank
AFRICAN STEEL INDUSTRIES,STE AFRICAN STEEL INDUSTRIES,Noureddine Mellouli,Industries mécaniques et métallurgiques,Constructions métalliques.,Autres constructions métalliques.,RTE DE TUNIS KM 11 - 3021 - SAKIET EZZIT,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet ezzit,(216) - 26 321 000,,direction@msgi.com.tn,,Non totalement exportatrice,,31/07/2011,160 000,10.0,Arab Tunisian Bank
AFRIKISOL INDUSTRIE,STE AFRIKISOL INDUSTRIE,Hachemi Dhifi,Industries mécaniques et métallurgiques,Ouvrages mécano soudé.,Travaux de chaudronnerie - tuyauterie sur site industriel - Isolation thermique et acoustique.,Z.I. - 7035 - MENZEL ABDERRAHMAN,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Menzel jemil,(216) - 72 570 498 / 72 570 625,(216) - 72 571 322,contact@afrikisol.com,http://www.afrikisol.com,Non totalement exportatrice,,15/05/2010,1 250 000,45.0,Banque de Tunisie
AGR INDUSTRIE,STE AGR INDUSTRIE,Renda Frank,Industries mécaniques et métallurgiques,Constructions métalliques.,Autres constructions métalliques.,Z.I. KORBOUS - 8020 - SOLIMAN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Soliman,(216) - 28 650 927 / 22 560 461,(216) - 72 333 613 / 72 333 616,w.aziz@agrindustrie.com,,Totalement exportatrice,France,10/09/2008,144 000,16.0,Banque internationale arabe de Tunisie
AIM (EZZAHRA),AMEUBLEMENT IND ET MENUISERIE,Abdelhakim Tekaya,Industries mécaniques et métallurgiques,Ouvrages divers en métaux.,"Portes coupe-feu - Ouvrages de menuiserie (portes, fenêtres, huisseries, etc.).",RUE DE JERUSALEM Z.I. - 2034 - EZZAHRA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Ezzahra,(216) - 71 481 297,(216) - 71 451 790,info.aim@planet.tn,http://www.aim.com.tn,Non totalement exportatrice,,30/12/1993,624 000,38.0,Arab Tunisian Bank
AIMA,STE IND DE CYCLES ET MATERIELS ROULANTS POUR HANDICAPES ET HOPITAUX,Ali Ben Mahmoud,Industries mécaniques et métallurgiques,Motocycles - Bicyclettes - Véhicules pour invalides.,Véhicules pour invalides avec ou sans moteurs - Bicyclettes - Motocycles et cyclomoteurs - Triporteurs sans moteurs - Trioyoles.,Z.I. - 2022 - KALAAT LANDLOUS,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,Kalaat landalous,(216) - 70 559 063 / 70 559 069,(216) - 70 559 077,aima@planet.tn,,Non totalement exportatrice,,17/12/2005,344 000,32.0,Société tunisienne de banque
AIRBUS ATLANTIC TUNISIE,AIRBUS ATLANTIC TUNISIE,Zouheir Bilel,Industries mécaniques et métallurgiques,Constructions métalliques.,"Ossatures métalliques pour équipements industriels - Pièces mécaniques usinées (alésage, fraisage, tournage...).","RUE DE GABES, LOT N°59, Z.I. M'GHIRA III - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 31 307 300,,cederic.couvret@airbus.com,http://www.stelia-aérospace.com,Totalement exportatrice,France,03/02/2011,94 416 590,1494.0,Banque de l'habitat
AKWEL,AKWEL MATEUR TUNISIA,Yassine Taghouti,Industries mécaniques et métallurgiques,"Serrures et ferrures - Pompes, compresseurs et systèmes hydrauliques - Equipements automobiles.","Autres équipements automobiles - Canalisations carburant automobiles - Aérateurs automobiles - Résistances non chauffantes - Diodes, transistors, thyristors etc. - Serrures pour véhicules automobiles - Pompes pour liquides.",Z.I. CITE ENNASR - 7030 - MATEUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Mateur,(216) - 70 017 080,,yassinetaghouti@akwel-automotive.com,http://www.akwel.com,Totalement exportatrice,France,01/09/1996,5 572 600,847.0,Banque de l'habitat
AL BADR AEROSPACE,STE AL BADR AEROSPACE,Islam Ben M'barek,Industries mécaniques et métallurgiques,Constructions métalliques.,Autres constructions métalliques.,"RUE DE TOZEUR, Z.I. M'GHIRA III, LOTS N° 5,6,7 - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 71 860 632 / 79 408 214,(216) - 71 861 482 / 79 408 309,contact@albadraero.com.tn,,Totalement exportatrice,,11/07/2012,2 530 000,85.0,Banque de l'habitat
AL MAADEN,AL MAADEN,Salah Omri,Industries mécaniques et métallurgiques,Emballages métalliques légers.,"Tubes en aluminium et en laminé pour emballage (crème, dentifrice).","14, RUE 8611 Z.I. LA CHARGUIA I - 2035 - TUNIS CARTHAGE","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Cite el khadra,(216) - 71 808 800,(216) - 70 836 612 / 71 770 561,almaaden@utic.com.tn,http://www.almaaden.com.tn,Non totalement exportatrice,,15/08/1968,2 010 000,113.0,Banque de l'habitat
AL METAL,AL METAL,Ichrak Bettaieb,Industries mécaniques et métallurgiques,Constructions métalliques.,Ossatures métalliques pour la construction.,OUED ENNACHEF - 4011 - HAMMAM SOUSSE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Hammam sousse,(216) - 97 228 004 / 98 404 451,,direction_al_metal@yahoo.fr,,Non totalement exportatrice,,25/09/2011,130 000,13.0,Banque de Tunisie
ALBARAKA C.I.E.,ALBARAKA CONSTRUCTION INGENIERIE EXPERTISE,Tarak Smida,Industries mécaniques et métallurgiques,Ouvrages mécano soudé.,Travaux de chaudronnerie - tuyauterie sur site industriel.,Z.I. SIDI ABDELHAMID - 4061 - SOUSSE IBN KHALDOUN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Sidi Abdelhamid,(216) - 73 320 090,(216) - 73 320 092,dc@albaraka-cie.tn,,Non totalement exportatrice,France,01/04/2013,500 000,96.0,Union internationale de banques
ALMIA REFRIGERATION,STE ALMIA REFRIGERATION,Samer Almia,Industries mécaniques et métallurgiques,Ouvrages divers en métaux - Equipements aérauliques et frigorifiques industriels.,Matériels frigorifiques industriels - Ustensiles métalliques pour la cuisson - Armoires frigorifiques - Vitrines réfrigérées.,Z.I. - 7080 - MENZEL JEMIL,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Menzel jemil,(216) - 72 440 758 / 72 440 784,,info@almia-tn.com,http://www.almia-tn.com,Non totalement exportatrice,,14/05/1984,2 503 000,81.0,Amen Bank
ALNOR,STE ALNOR,Aouicha Ben Mansour,Industries mécaniques et métallurgiques,Métallurgie de l'aluminium.,Profilés en aluminium.,Z.I. JBEL OUEST - 1141 - BIR M'CHERGA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 22 556 604,,,,Non totalement exportatrice,,16/02/2022,400 000,10.0,Attijari Bank
ALPHA BUS TUNISIE,ALPHA BUS TUNISIE,Moncef Kelibi,Industries mécaniques et métallurgiques,Carrosseries et remorques.,Autres carrosseries et remorques.,"AUTOROUTE A1, SORTIE HAMMAM-LIF, BP N° 66 - 2063 - NLLE MEDINA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Nouvelle medina,(216) - 70 011 370,(216) - 71 308 401,man.tunisie@planet.tn,,Non totalement exportatrice,,01/07/2001,1 000 000,79.0,Banque de Tunisie
ALTRAD CEDRIA,ALTRAD CEDRIA,Mathias Altrad,Industries mécaniques et métallurgiques,Constructions métalliques - Articles en fils métalliques - Ouvrages divers en métaux.,Ossatures métalliques pour la construction - Panneaux indicateurs - Armatures préparées pour le bâtiment.,RUE JAMEL ABDENNACEUR -Z.I. - 2084 - BORJ CEDRIA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Hammam chott,(216) - 71 431 503 / 71 431 900,(216) - 79 412 823 / 71 431 528,altrad.finance@planet.tn,,Totalement exportatrice,France,04/11/2006,3 600 000,170.0,Arab Tunisian Bank
ALU COLOR,STE ALU COLOR,Farid Khalchouch,Industries mécaniques et métallurgiques,Métallurgie des autres métaux non ferreux.,Autres métaux non ferreux.,Z.I. - 9070 - MEDJEZ EL BAB,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Mjaz el bab,(216) - 71 433 299,,,,Non totalement exportatrice,,31/08/2015,1 000 000,70.0,Banque internationale arabe de Tunisie
ALUFOND,ALUFOND,Yahia Bayahi,Industries mécaniques et métallurgiques,Métallurgie de l'aluminium.,Autres métallurgies de l'aluminium.,Z.I. - 1111 - JEBEL EL OUST,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 29 302 344 / 28 484 487,,a.benamor@tpr.com.tn,,Non totalement exportatrice,,04/02/2011,3 000 000,30.0,Banque nationale agricole
ALUMENAGE,STE ALUMENAGE,Karim Driss,Industries mécaniques et métallurgiques,Ouvrages divers en métaux.,Ustensiles métalliques pour la cuisson.,Z.I. - 1111 - JEBEL EL OUST,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 72 640 324 / 98 307 678,(216) - 72 640 304,alumenage@gnet.tn,,Non totalement exportatrice,Italie,02/09/2008,8 240 000,101.0,Banque nationale agricole
ALUMINIUM MAJD GROUP,STE ALUMINIUM MAJD GROUP,Mejdi Ben Khalifa,Industries mécaniques et métallurgiques,Métallurgie de l'aluminium.,Profilés en aluminium.,Z.I RTE DE TUNIS KAIROUAN - 3100 - KAIROUAN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Kairouan nord,(216) - 21 390 890,,amgkairuan@gmail.com,,Non totalement exportatrice,,01/06/2021,400 000,50.0,Amen Bank
ALVA TUNISIA,ALVA TUNISIA,Abdelmajid Jemii,Industries mécaniques et métallurgiques,Equipements automobiles.,Airbags pour automobiles.,"IMP DES ENTREPRENEURS, Z.I. LA CHARGUIA II - 2036 - LA SOUKRA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,La Soukra,(216) - 71 940 800,(216) - 71 940 262,abdelmajid.jemii@alva-tn.com,http://www.toray.com,Totalement exportatrice,Suede,02/01/2007,27 500 000,850.0,Banque internationale arabe de Tunisie
ALZA,STE ALZA (EX ZAMATECH),Mohamed Hannachi,Industries mécaniques et métallurgiques,Fonderie d'autres métaux non ferreux.,Autres fonderies de métaux non ferreux.,RTE DE GRICH EL OUED - 9070 - MEDJEZ EL BAB,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Mjaz el bab,(216) - 78 563 962 / 78 563 961,(216) - 78 563 961 / 78 563 966,contact@alza.tn,http://www.fonderrotti.it,Totalement exportatrice,Italie,07/12/2007,100 000,27.0,Société tunisienne de banque
AMAL GROUP (FOUCHANA),AMAL GROUP,Amal Rajhi,Industries mécaniques et métallurgiques,Réservoirs et citernes métalliques.,Citernes métalliques pour produits alimentaires ou chimiques - Cuves métalliques pour produits alimentaires ou chimiques.,"RUE JENDOUBA, LOT N°24, Z.I. M'GHIRA 2 - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 29 353 723 / 79 408 461,(216) - 79 408 458,amal.group@planet.tn,http://www.amal-group.net,Non totalement exportatrice,,30/11/2013,260 000,15.0,Société tunisienne de banque
AMC EPOXY,STE AMC EPOXY,Oussama Belhaj,Industries mécaniques et métallurgiques,Traitement et revêtement des métaux.,Revêtements métalliques de métaux.,"49, RTE DE LA CEINTURE - 4070 - M'SAKEN","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 23 227 749,,,,Non totalement exportatrice,,05/04/2021,216 800,12.0,Banque internationale arabe de Tunisie
AMC SADOK BELHAJ TAHER,STE AMC SADOK BELHAJ TAHER,Sadok Belhaj Taher,Industries mécaniques et métallurgiques,Serrures et ferrures.,Serrures et barillets.,"RTE DE M SAKEN, KM 147 - 4081 - ZAOUIET SOUSSE","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Ksiba Zaouia Thrayet,(216) - 27 300 301,(216) - 73 386 867,a.m.centre@gnet.tn,,Non totalement exportatrice,,13/06/2022,350 000,88.0,Société tunisienne de banque
AMEC,ATELIER MECANIQUE ELECTRIQUE ET CONSTRUCTION,Riadh Sidia,Industries mécaniques et métallurgiques,Mécanique générale.,"Pièces mécaniques usinées (alésage, fraisage, tournage...) - Autres opérations de mécanique générale.","03, RUE DU NIL - 2023 - SIDI FATHALLAH","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Jbel jeloud,(216) - 71 491 822,(216) - 71 393 700,s.amec@topnet.tn,,Totalement exportatrice,,05/06/1999,60 000,23.0,Banque Zitouna
AMECAP,LES ATELIERS MECANIQUES DE PRECISION,Ahmed Regayeg,Industries mécaniques et métallurgiques,Mécanique générale - Articles de robinetterie.,Robinetteries sanitaires - Autres articles de robinetterie - Pièces métalliques décolletées.,"RTE DE GABES KM 1,5 - 3003 - SFAX CITE DE MARTYRS","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax ville,(216) - 74 468 188,(216) - 74 468 325,contact@amecap.com,http://www.amecap.com.tn,Non totalement exportatrice,,15/09/1991,5 000 000,173.0,Société tunisienne de banque
AMEL,STE ATELIER MODERNE D ELECTRICITE  ET  MOBILIER MEDICAL,Ahmed Jribi,Industries mécaniques et métallurgiques,Constructions métalliques.,Ossatures métalliques pour équipements industriels - Mobilier médicochirurgical.,Z.I. POUDRIERE II - 3002 - EL BOUSTENE,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax ville,(216) - 74 432 594 / 74 432 935,(216) - 74 432 153,elham.j@amel.com.tn,http://www.amelconstruction.com,Non totalement exportatrice,,08/02/1980,636 000,51.0,Amen Bank
